Anno;Provincia;Tipo rifiuti;Quantita di rifiuti 
2007;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1574516.00
2007;PADOVA;PERICOLOSI;120575.00
2007;PADOVA;SPECIALI NP;1156163.00
2007;ROVIGO;PERICOLOSI;20983.00
2007;ROVIGO;SPECIALI NP;297966.00
2008;VERONA;PERICOLOSI;136952.00
2008;VERONA;SPECIALI NP;1799135.00
2008;VICENZA;PERICOLOSI;183971.00
2008;VICENZA;SPECIALI NP;1599294.00
2008;BELLUNO;PERICOLOSI;48594.00
2008;BELLUNO;SPECIALI NP;172401.00
2008;TREVISO;PERICOLOSI;193810.00
2008;TREVISO;SPECIALI NP;1213824.00
2008;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;328678.00
2008;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1699996.00
2008;PADOVA;PERICOLOSI;117022.00
2008;PADOVA;SPECIALI NP;1420777.00
2008;ROVIGO;PERICOLOSI;25073.00
2008;ROVIGO;SPECIALI NP;324813.00
2009;VERONA;PERICOLOSI;208494.00
2009;VERONA;SPECIALI NP;1680193.00
2009;VICENZA;PERICOLOSI;135606.00
2009;VICENZA;SPECIALI NP;1504030.00
2009;BELLUNO;PERICOLOSI;40223.22
2009;BELLUNO;SPECIALI NP;165976.00
2009;TREVISO;PERICOLOSI;205049.00
2009;TREVISO;SPECIALI NP;1034806.00
2009;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;288736.00
2009;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1835655.00
2009;PADOVA;PERICOLOSI;110023.00
2009;PADOVA;SPECIALI NP;1335448.00
2009;ROVIGO;PERICOLOSI;26206.00
2009;ROVIGO;SPECIALI NP;229606.00
2010;VERONA;PERICOLOSI;125295.50
2010;VERONA;SPECIALI NP;1692384.08
2010;VICENZA;PERICOLOSI;229154.46
2010;VICENZA;SPECIALI NP;1580416.22
2010;BELLUNO;PERICOLOSI;40936.77
